path,relative_path,filename,extension,size_bytes,sha256,modified_time,classification_initial,proposed_action,reason,is_mandatory_keep,is_xlsx,is_empty,name_length
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0126_PROPOSED_FCMC_PERIOD_UF_SCHEMA.20260710_141914.sql,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0126_PROPOSED_FCMC_PERIOD_UF_SCHEMA.20260710_141914.sql,CR_DB_0126_PROPOSED_FCMC_PERIOD_UF_SCHEMA.20260710_141914.sql,.sql,3967,d0c5f4639827e47fde733ac21c661943504f06e0fc6755f42fd034e83dcdaa66,2026-07-10T14:19:14-04:00,OTHER,KEEP,ALREADY_ARCHIVED,False,False,False,57
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0128_FCMC_PERIOD_UF_SEED_STRATEGY.20260710_150600.sql,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0128_FCMC_PERIOD_UF_SEED_STRATEGY.20260710_150600.sql,CR_DB_0128_FCMC_PERIOD_UF_SEED_STRATEGY.20260710_150600.sql,.sql,510,38c52b37760b4442502760c0a5249578878d54cdf524ee327b62dddabc8f72ce,2026-07-10T15:06:01-04:00,OTHER,KEEP,ALREADY_ARCHIVED,False,False,False,55
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0129_ORIGINAL_BOOTSTRAP_APPROVED_FCMC_PERIOD_UF_SEED.20260710_154348.sql,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0129_ORIGINAL_BOOTSTRAP_APPROVED_FCMC_PERIOD_UF_SEED.20260710_154348.sql,CR_DB_0129_ORIGINAL_BOOTSTRAP_APPROVED_FCMC_PERIOD_UF_SEED.20260710_154348.sql,.sql,79388,5c45fa2bed9cd09d972d46daa751be07d1e15e7d215d14bf06b11409218361e0,2026-07-10T15:43:48-04:00,OTHER,KEEP,ALREADY_ARCHIVED,False,False,False,74
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0129G_SCHEMA_AWARE_PROMOTION.20260710_174458.sql,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0129G_SCHEMA_AWARE_PROMOTION.20260710_174458.sql,CR_DB_0129G_SCHEMA_AWARE_PROMOTION.20260710_174458.sql,.sql,55646,96646e39950670b873f72b0cadb892ae44e88e7e3ea8614b82d457fe28d5ffbb,2026-07-10T17:44:58-04:00,OTHER,KEEP,ALREADY_ARCHIVED,False,False,False,50
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_100_PERCENT_DB_DATA_SOURCE_POLICY.CR_DB_0123.20260710_133023.csv,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_100_PERCENT_DB_DATA_SOURCE_POLICY.CR_DB_0123.20260710_133023.csv,PKO_R01_100_PERCENT_DB_DATA_SOURCE_POLICY.CR_DB_0123.20260710_133023.csv,.csv,636,240f215e4c79e6de9c7b0aa3b4e776de8e77dae95cac018d549705a05d3d0c77,2026-07-10T13:30:23-04:00,CSV,KEEP,ALREADY_ARCHIVED,False,False,False,68
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.csv,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.csv,PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.csv,.csv,840,a9ebb033e88aa71eb72b760041db2eb98a31625ece2e23c2f22ff4d9c30c4f30,2026-07-09T17:21:38-04:00,CSV,KEEP,ALREADY_ARCHIVED,False,False,False,54
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.json,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.json,PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.json,.json,864,bc8e8f0d43030a938ddcaa68169c1a67a5f3ae73dfad1c0754b0cc410b2849ad,2026-07-09T17:21:38-04:00,TEMP_OR_SCRIPT,KEEP,ALREADY_ARCHIVED,False,False,False,54
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACTIVE_FORMAT_PROFILE_REGISTER.CR_DB_0122.20260710_105834.csv,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACTIVE_FORMAT_PROFILE_REGISTER.CR_DB_0122.20260710_105834.csv,PKO_R01_ACTIVE_FORMAT_PROFILE_REGISTER.CR_DB_0122.20260710_105834.csv,.csv,579,8cf27533081f2a641748d634fa487efcf98b891887c936e3fd3b6a6093bc1de2,2026-07-10T10:58:36-04:00,CSV,KEEP,ALREADY_ARCHIVED,False,False,False,65
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_ACCEPTANCE_GATE_DEPENDENCIES.CR_DB_0121.20260710_104951.csv,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_ACCEPTANCE_GATE_DEPENDENCIES.CR_DB_0121.20260710_104951.csv,PKO_R01_B_ACCEPTANCE_GATE_DEPENDENCIES.CR_DB_0121.20260710_104951.csv,.csv,812,4646c8c9d75330ff1737b51d95bdb7868bba8c078f4fd005cfdfd92f49853b53,2026-07-10T10:49:51-04:00,CSV,KEEP,ALREADY_ARCHIVED,False,False,False,65
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195806.csv,04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195806.csv,PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195806.csv,.csv,225,5f2a38146bf7e6f8f5190183fcf43875e2345b81178c48b90a54b9c183a36756,2026-07-09T19:58:06-04:00,CSV,KEEP,ALREADY_ARCHIVED,False,False,False,71
