group,sheet,cell,formula,cached_available,cached_value,source,result
fbs2_source,. F.BS2.01,G35,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G36,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G37,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G38,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G39,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G40,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G41,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G42,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G43,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G44,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G45,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G46,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G47,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G48,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G49,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G50,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G51,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G52,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G53,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,G54,=SUM(G35:G52),True,0,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H35,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H36,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H37,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H38,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H39,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H40,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H41,297.0443102116981,True,297.0443102116981,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H42,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H43,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H44,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H45,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H46,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H47,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H48,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H49,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H50,,False,,0143F_FBS2_DEPTH,OK
fbs2_source,. F.BS2.01,H51,,False,,0143F_FBS2_DEPTH,OK
