old_path,new_path,sha256_before,sha256_after,action,reason,status
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0145_REVIEW.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_REVIEW.csv,a4ae179187e5d789d12ceea90e687656f0e6a765060e859c5e021c1cda9b327d,a4ae179187e5d789d12ceea90e687656f0e6a765060e859c5e021c1cda9b327d,COPIED_CANONICAL,HUMAN_REVIEW_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0145_CLOSE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_CLOSE.csv,24cd4802a467d240a771733ecf05baa88df27de3885b3a7462208cefa8093d28,24cd4802a467d240a771733ecf05baa88df27de3885b3a7462208cefa8093d28,COPIED_CANONICAL,CLOSE_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0144_FINAL.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_FINAL.csv,5f06867c2cab6e7b3161419b6f91a8827ef95c4a737bd1dbf31a093ba8e7a2bb,5f06867c2cab6e7b3161419b6f91a8827ef95c4a737bd1dbf31a093ba8e7a2bb,COPIED_CANONICAL,FINAL_ARTIFACT_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0144_SUPERSEDED.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_SUPERSEDED.csv,e149a409eebde11a286b7f3cb9303981da8efadfc09c74736c52720f6ab34ef9,e149a409eebde11a286b7f3cb9303981da8efadfc09c74736c52720f6ab34ef9,COPIED_CANONICAL,SUPERSEDED_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0143F_GATE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_GATE.csv,a4000d27f2423bee8f90662987f7714fb84bcef699321e33e54f9c0dbf20a5b1,a4000d27f2423bee8f90662987f7714fb84bcef699321e33e54f9c0dbf20a5b1,COPIED_CANONICAL,FINAL_GATE,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0143F_R26.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_R26.csv,ab169aedcff0621a251e743bf8343d1c89adaee26d54c9d9090f7e5661dec27b,ab169aedcff0621a251e743bf8343d1c89adaee26d54c9d9090f7e5661dec27b,COPIED_CANONICAL,R26_VALIDATION,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0143F_CACHE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_CACHE.csv,0368e65fd16a7019171506cb235b986d244c473f9c27c7a1cf21541793f65084,0368e65fd16a7019171506cb235b986d244c473f9c27c7a1cf21541793f65084,COPIED_CANONICAL,CACHE_CONFIRMATION,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0144_HANDOFF.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_HANDOFF.md,efd34728b187237946c896a9f66dc483f6356b93c098604c70acf448e2585870,efd34728b187237946c896a9f66dc483f6356b93c098604c70acf448e2585870,COPIED_CANONICAL,HANDOFF,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0144_SIGNOFF.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_SIGNOFF.md,6a3eece7a5513ce74ad023a952d1990aea7c5fe3aeb2613f3b65ad54a14899d4,6a3eece7a5513ce74ad023a952d1990aea7c5fe3aeb2613f3b65ad54a14899d4,COPIED_CANONICAL,SIGNOFF,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0145_REVIEW.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_REVIEW.md,6a06d6e1ffe5b30f31a527ff72bb257a89370d5ba6a2d42527e458c58baa9995,6a06d6e1ffe5b30f31a527ff72bb257a89370d5ba6a2d42527e458c58baa9995,COPIED_CANONICAL,REVIEW_NOTE,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0144_BACKLOG.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_BACKLOG.md,429762311957f588074cbb48badedec48f4fce3084b9ab73ca3b5682d70e2c9b,429762311957f588074cbb48badedec48f4fce3084b9ab73ca3b5682d70e2c9b,COPIED_CANONICAL,BACKLOG,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\05.DOCS\GOVERNANCE\R01B_0145_GOV.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_GOV.md,fbea547645e4ea54ab7688b5ecda976e1db45243ddeb6311495851c110c48004,fbea547645e4ea54ab7688b5ecda976e1db45243ddeb6311495851c110c48004,COPIED_CANONICAL,GOVERNANCE,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0144_EVIDENCE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_EVIDENCE.csv,c277069b7f7a6c68e933c4646f622fb814e5e6d53ecb6f6479deaa9730c73d06,c277069b7f7a6c68e933c4646f622fb814e5e6d53ecb6f6479deaa9730c73d06,COPIED_CANONICAL,EVIDENCE_INDEX,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143.20260711_113208.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143.20260711_113208.xlsx,f2555fd99f0768c2b5c31b341e8ecfbf59df11b2810a702136ec8c91ac44b5a7,f2555fd99f0768c2b5c31b341e8ecfbf59df11b2810a702136ec8c91ac44b5a7,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143.20260711_113235.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143.20260711_113235.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143B.20260711_115303.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143B.20260711_115303.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143C.20260711_121418.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143C.20260711_121418.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143D.20260711_122823.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143D.20260711_122823.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
