record_type,target_sheet,target_cell,target_formula,target_cached_value,dependency_sheet,dependency_cell,dependency_formula,dependency_cached_value,source_range,benchmark_target_formula,benchmark_target_cached_value,benchmark_dependency_formula,benchmark_dependency_cached_value,value_match
TARGET,F.D.KUM.01,R26,=+'. F.BS2.01'!G54,0,. F.BS2.01,G54,=SUM(G35:G52),0,=SUM(G35:G52),=+'. F.BS2.01'!G54,0,=SUM(G35:G52),0,True
TARGET,F.D.KUM.01,S26,=+'. F.BS2.01'!H54,297.0443102116981,. F.BS2.01,H54,=SUM(H35:H52),297.0443102116981,=SUM(H35:H52),=+'. F.BS2.01'!H54,297.0443102116981,=SUM(H35:H52),297.0443102116981,True
TARGET,F.D.KUM.01,T26,=+'. F.BS2.01'!I54,0,. F.BS2.01,I54,=SUM(I35:I52),0,=SUM(I35:I52),=+'. F.BS2.01'!I54,0,=SUM(I35:I52),0,True
TARGET,F.D.KUM.01,U26,=+'. F.BS2.01'!J54,0,. F.BS2.01,J54,=SUM(J35:J52),0,=SUM(J35:J52),=+'. F.BS2.01'!J54,0,=SUM(J35:J52),0,True
TARGET,F.D.KUM.01,V26,=+'. F.BS2.01'!K54,0,. F.BS2.01,K54,=SUM(K35:K52),0,=SUM(K35:K52),=+'. F.BS2.01'!K54,0,=SUM(K35:K52),0,True
TARGET,F.D.KUM.01,W26,=+'. F.BS2.01'!L54,0,. F.BS2.01,L54,=SUM(L35:L52),0,=SUM(L35:L52),=+'. F.BS2.01'!L54,0,=SUM(L35:L52),0,True
TARGET,F.D.KUM.01,X26,=+'. F.BS2.01'!M54,0,. F.BS2.01,M54,=SUM(M35:M52),0,=SUM(M35:M52),=+'. F.BS2.01'!M54,0,=SUM(M35:M52),0,True
TARGET,F.D.KUM.01,Y26,=+'. F.BS2.01'!N54,0,. F.BS2.01,N54,=SUM(N35:N52),0,=SUM(N35:N52),=+'. F.BS2.01'!N54,0,=SUM(N35:N52),0,True
TARGET,F.D.KUM.01,Z26,=+'. F.BS2.01'!O54,0,. F.BS2.01,O54,=SUM(O35:O52),0,=SUM(O35:O52),=+'. F.BS2.01'!O54,0,=SUM(O35:O52),0,True
TARGET,F.D.KUM.01,AA26,=+'. F.BS2.01'!P54,0,. F.BS2.01,P54,=SUM(P35:P52),0,=SUM(P35:P52),=+'. F.BS2.01'!P54,0,=SUM(P35:P52),0,True
TARGET,F.D.KUM.01,AB26,=+'. F.BS2.01'!Q54,0,. F.BS2.01,Q54,=SUM(Q35:Q52),0,=SUM(Q35:Q52),=+'. F.BS2.01'!Q54,0,=SUM(Q35:Q52),0,True
TARGET,F.D.KUM.01,AC26,=+'. F.BS2.01'!R54,0,. F.BS2.01,R54,=SUM(R35:R52),0,=SUM(R35:R52),=+'. F.BS2.01'!R54,0,=SUM(R35:R52),0,True
AGGREGATE,. F.BS2.01,G54,=SUM(G35:G52),0,. F.BS2.01,G54,=SUM(G35:G52),0,=SUM(G35:G52),=SUM(G35:G52),0,=SUM(G35:G52),0,True
AGGREGATE,. F.BS2.01,H54,=SUM(H35:H52),297.0443102116981,. F.BS2.01,H54,=SUM(H35:H52),297.0443102116981,=SUM(H35:H52),=SUM(H35:H52),297.0443102116981,=SUM(H35:H52),297.0443102116981,True
AGGREGATE,. F.BS2.01,I54,=SUM(I35:I52),0,. F.BS2.01,I54,=SUM(I35:I52),0,=SUM(I35:I52),=SUM(I35:I52),0,=SUM(I35:I52),0,True
AGGREGATE,. F.BS2.01,J54,=SUM(J35:J52),0,. F.BS2.01,J54,=SUM(J35:J52),0,=SUM(J35:J52),=SUM(J35:J52),0,=SUM(J35:J52),0,True
AGGREGATE,. F.BS2.01,K54,=SUM(K35:K52),0,. F.BS2.01,K54,=SUM(K35:K52),0,=SUM(K35:K52),=SUM(K35:K52),0,=SUM(K35:K52),0,True
AGGREGATE,. F.BS2.01,L54,=SUM(L35:L52),0,. F.BS2.01,L54,=SUM(L35:L52),0,=SUM(L35:L52),=SUM(L35:L52),0,=SUM(L35:L52),0,True
AGGREGATE,. F.BS2.01,M54,=SUM(M35:M52),0,. F.BS2.01,M54,=SUM(M35:M52),0,=SUM(M35:M52),=SUM(M35:M52),0,=SUM(M35:M52),0,True
AGGREGATE,. F.BS2.01,N54,=SUM(N35:N52),0,. F.BS2.01,N54,=SUM(N35:N52),0,=SUM(N35:N52),=SUM(N35:N52),0,=SUM(N35:N52),0,True
AGGREGATE,. F.BS2.01,O54,=SUM(O35:O52),0,. F.BS2.01,O54,=SUM(O35:O52),0,=SUM(O35:O52),=SUM(O35:O52),0,=SUM(O35:O52),0,True
AGGREGATE,. F.BS2.01,P54,=SUM(P35:P52),0,. F.BS2.01,P54,=SUM(P35:P52),0,=SUM(P35:P52),=SUM(P35:P52),0,=SUM(P35:P52),0,True
AGGREGATE,. F.BS2.01,Q54,=SUM(Q35:Q52),0,. F.BS2.01,Q54,=SUM(Q35:Q52),0,=SUM(Q35:Q52),=SUM(Q35:Q52),0,=SUM(Q35:Q52),0,True
AGGREGATE,. F.BS2.01,R54,=SUM(R35:R52),0,. F.BS2.01,R54,=SUM(R35:R52),0,=SUM(R35:R52),=SUM(R35:R52),0,=SUM(R35:R52),0,True
SOURCE_DEPTH,. F.BS2.01,G35,,,. F.BS2.01,G35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,H35,,,. F.BS2.01,H35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,I35,,,. F.BS2.01,I35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,J35,,,. F.BS2.01,J35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,K35,,,. F.BS2.01,K35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,L35,,,. F.BS2.01,L35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,M35,,,. F.BS2.01,M35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,N35,,,. F.BS2.01,N35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,O35,,,. F.BS2.01,O35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,P35,,,. F.BS2.01,P35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,Q35,,,. F.BS2.01,Q35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,R35,,,. F.BS2.01,R35,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,G36,,,. F.BS2.01,G36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,H36,,,. F.BS2.01,H36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,I36,,,. F.BS2.01,I36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,J36,,,. F.BS2.01,J36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,K36,,,. F.BS2.01,K36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,L36,,,. F.BS2.01,L36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,M36,,,. F.BS2.01,M36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,N36,,,. F.BS2.01,N36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,O36,,,. F.BS2.01,O36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,P36,,,. F.BS2.01,P36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,Q36,,,. F.BS2.01,Q36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,R36,,,. F.BS2.01,R36,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,G37,,,. F.BS2.01,G37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,H37,,,. F.BS2.01,H37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,I37,,,. F.BS2.01,I37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,J37,,,. F.BS2.01,J37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,K37,,,. F.BS2.01,K37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,L37,,,. F.BS2.01,L37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,M37,,,. F.BS2.01,M37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,N37,,,. F.BS2.01,N37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,O37,,,. F.BS2.01,O37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,P37,,,. F.BS2.01,P37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,Q37,,,. F.BS2.01,Q37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,R37,,,. F.BS2.01,R37,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,G38,,,. F.BS2.01,G38,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,H38,,,. F.BS2.01,H38,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,I38,,,. F.BS2.01,I38,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,J38,,,. F.BS2.01,J38,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,K38,,,. F.BS2.01,K38,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,L38,,,. F.BS2.01,L38,,,,,,,,True
SOURCE_DEPTH,. F.BS2.01,M38,,,. F.BS2.01,M38,,,,,,,,True
