source_file,workbook_name,sheet_name,listed_description_from_inidce,exists_in_workbook,sheet_type,max_row,max_column,formula_count,formula_refs_count,formula_external_refs_count,formula_ref_errors_count,has_external_links_package,external_link_parts,sample_formulas,priority,notes
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Calendario Financiero ,,YES,UNKNOWN,338,63,1151,214,24,6,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,W2: =SUM(N2:V2) | N3: =3067.92+2377.44+3098.88+3314.52 | N4: =3326+2405+3366+3180 | N6: =+N3*N$5 | O6: =+O3*O$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Hoja2 (2),,YES,UNKNOWN,19,41,66,0,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,A3: =+K3 | G3: =+E3+F3 | L3: =(K3-J3)/30 | N3: =G3-M3 | AD3: =56+2,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Hoja2,,YES,UNKNOWN,44,41,170,0,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,A3: =+K3 | G3: =+E3+F3 | L3: =(K3-J3)/30 | N3: =G3-M3 | AD3: =56+2,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Calendario Financiero Prepago,,YES,UNKNOWN,194,44,754,4,0,4,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,W2: =SUM(N2:V2) | N3: =3067.92+2377.44+3098.88+3314.52 | N4: =3326+2405+3366+3180 | N6: =+N3*N$5 | O6: =+O3*O$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Analisis Nuevo Escenario,,YES,UNKNOWN,42,16,265,191,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,C4: =+'Calendario Financiero Prepago'!C55 | D4: =+'Calendario Financiero Prepago'!$F$55/11 | E4: =+'Calendario Financiero Prepago'!$F$55/11 | F4: =+'Calendario Financiero Prepago'!$F$55/11 | G4: =+'Calendario Financiero Prepago'!$F$55/11,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Análisis Préstamo BTG,,YES,UNKNOWN,233,41,537,5,0,4,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,W2: =SUM(N2:V2) | N3: =3067.92+2377.44+3098.88+3314.52 | N4: =3326+2405+3366+3180 | N6: =+N3*N$5 | O6: =+O3*O$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Calendario Costo Financiero,,YES,UNKNOWN,112,60,1470,0,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,"I5: =(H5-G5)/30 | J5: =IF(EOMONTH($H5,0)=EOMONTH(J$1,0),$E5*$I5*$D5+($D5*$F5),"""") | I6: =(H6-G6)/30 | J6: =IF(EOMONTH($H6,0)=EOMONTH(J$1,0),$E6*$I6*$D6+($D6*$F6),"""") | I7: =(H7-G7)/30",P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Devengados Mayo 26,,YES,UNKNOWN,328,62,571,10,0,6,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,W2: =SUM(N2:V2) | N3: =3067.92+2377.44+3098.88+3314.52 | N4: =3326+2405+3366+3180 | N6: =+N3*N$5 | O6: =+O3*O$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Devengado ,,YES,UNKNOWN,331,65,1127,247,24,7,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,W2: =SUM(N2:V2) | N3: =3067.92+2377.44+3098.88+3314.52 | N4: =3326+2405+3366+3180 | N6: =+N3*N$5 | O6: =+O3*O$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Estatus Operaciones,,YES,UNKNOWN,141,81,79,0,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,AL21: =+AK76 | BF26: =+BE26*$BF$21 | BG26: =+BC26+BE26 | A27: =+A26+1 | U27: =3600,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Calendario Financiero Actual,,YES,UNKNOWN,80,36,280,4,0,4,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,W2: =SUM(N2:V2) | N3: =3067.92+2377.44+3098.88+3314.52 | N4: =3326+2405+3366+3180 | N6: =+N3*N$5 | O6: =+O3*O$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Calendario Pago Financiero V1,,YES,UNKNOWN,54,22,203,0,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,V2: =SUM(M2:U2) | M3: =3067.92+2377.44+3098.88+3314.52 | M4: =3326+2405+3366+3180 | M6: =+M3*M$5 | N6: =+N3*N$5,P2,
C:\01. GitHub\CloseReport\03.DATA\raw\current\calendario_costo_financiero.xlsx,calendario_costo_financiero.xlsx,Calendario Pago Financiero V3,,YES,UNKNOWN,56,38,226,0,0,0,YES,xl/externalLinks/externalLink1.xml | xl/externalLinks/externalLink2.xml | xl/externalLinks/_rels/externalLink1.xml.rels | xl/externalLinks/_rels/externalLink2.xml.rels,V2: =SUM(M2:U2) | M3: =3067.92+2377.44+3098.88 | M4: =3326+2405+3366 | M6: =+M3*M$5 | N6: =+N3*N$5,P2,
