"file","full_path","size_bytes","last_write","classification","reason"
"PKO.R01.D_SEMI_CLONE_VISUAL_FROM_DB.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.D_SEMI_CLONE_VISUAL_FROM_DB.2026-05.v001.xlsx","1183621","2026-07-07 17:32:53","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.A_ORIGINAL_FORMULAS_FROM_DB.2026-05.v001.xlsx.PENDING.txt","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.A_ORIGINAL_FORMULAS_FROM_DB.2026-05.v001.xlsx.PENDING.txt","242","2026-07-07 18:33:08","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.B_EFFICIENT_FORMULAS_FROM_DB.2026-05.v001.xlsx.PENDING.txt","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.B_EFFICIENT_FORMULAS_FROM_DB.2026-05.v001.xlsx.PENDING.txt","237","2026-07-07 18:33:08","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.C_AUDIT_VISUAL_FROM_DB.2026-05.v001.xlsx.PENDING.txt","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.C_AUDIT_VISUAL_FROM_DB.2026-05.v001.xlsx.PENDING.txt","255","2026-07-07 18:33:08","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.A_ORIGINAL_FORMULAS_FROM_DB.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.A_ORIGINAL_FORMULAS_FROM_DB.2026-05.v001.xlsx","1186543","2026-07-07 18:38:09","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.A0_TRANSITIONAL_LEGACY_FORMULAS_PRESERVED_FROM_EXCEL_WITH_DB_INPUTS.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.A0_TRANSITIONAL_LEGACY_FORMULAS_PRESERVED_FROM_EXCEL_WITH_DB_INPUTS.2026-05.v001.xlsx","1186543","2026-07-07 18:38:09","LEGACY_CANDIDATE","older transitional diagnostic repair or control artifact"
"PKO.R01.A_ORIGINAL_STYLE_FORMULAS_FROM_DB_RULES.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.A_ORIGINAL_STYLE_FORMULAS_FROM_DB_RULES.2026-05.v001.xlsx","1185942","2026-07-07 18:53:38","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.A_ORIGINAL_STYLE_FORMULAS_FROM_DB_RULES.REPAIRED.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.A_ORIGINAL_STYLE_FORMULAS_FROM_DB_RULES.REPAIRED.2026-05.v001.xlsx","1185870","2026-07-07 19:02:20","LEGACY_CANDIDATE","older transitional diagnostic repair or control artifact"
"PKO.R01.B_EFFICIENT_FORMULAS_FROM_DB_RULES.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.B_EFFICIENT_FORMULAS_FROM_DB_RULES.2026-05.v001.xlsx","25197","2026-07-07 19:24:56","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
"PKO.R01.C_AUDIT_VISUAL_FROM_DB_RULES.2026-05.v001.xlsx","C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED\03_PKO\PKO.R01.2026-05.v001\reports\PKO.R01.C_AUDIT_VISUAL_FROM_DB_RULES.2026-05.v001.xlsx","149874","2026-07-08 14:52:48","SUPERSEDED_CANDIDATE","branch output superseded by sanitized visual output"
